,T,year,month
0,10.019892244784012,1950.0,1.0
1,10.031521600046403,1950.0,2.0
2,10.03491042890491,1950.0,3.0
3,10.055239853710765,1950.0,4.0
4,10.06055267686643,1950.0,5.0
5,10.024724478693878,1950.0,6.0
6,9.999273209015646,1950.0,7.0
7,9.995302732691165,1950.0,8.0
8,10.011022639475524,1950.0,9.0
9,10.017923800734367,1950.0,10.0
10,9.998226976473173,1950.0,11.0
11,10.016865006700254,1950.0,12.0
12,10.032578570112774,1951.0,1.0
13,10.043520899606087,1951.0,2.0
14,10.058019472625931,1951.0,3.0
15,10.058887004478507,1951.0,4.0
16,10.045838959278408,1951.0,5.0
17,10.04119873612413,1951.0,6.0
18,10.01960655777406,1951.0,7.0
19,10.018054496511128,1951.0,8.0
20,10.036876954664239,1951.0,9.0
21,10.04826044101412,1951.0,10.0
22,10.054911650919431,1951.0,11.0
23,10.065621175088953,1951.0,12.0
24,10.054685829773458,1952.0,1.0
25,10.043490823271274,1952.0,2.0
26,10.040241771989363,1952.0,3.0
27,10.02650956435531,1952.0,4.0
28,10.000052803073249,1952.0,5.0
29,9.976238839717105,1952.0,6.0
30,9.970256914673897,1952.0,7.0
31,9.980651031500418,1952.0,8.0
32,9.995141640273811,1952.0,9.0
33,10.006147012157347,1952.0,10.0
34,9.995598700251078,1952.0,11.0
35,10.016190851345886,1952.0,12.0
36,10.034212446298383,1953.0,1.0
37,10.019713808591343,1953.0,2.0
38,10.040710813942072,1953.0,3.0
39,10.04098316927946,1953.0,4.0
40,10.038254221371353,1953.0,5.0
41,10.012746376559834,1953.0,6.0
42,9.9862046884006,1953.0,7.0
43,9.986092042168849,1953.0,8.0
44,10.001132467798517,1953.0,9.0
45,10.014741255863095,1953.0,10.0
46,10.016299542901917,1953.0,11.0
47,10.028418189399115,1953.0,12.0
48,10.036220250857001,1954.0,1.0
49,10.051025421203606,1954.0,2.0
50,10.046755907564263,1954.0,3.0
51,10.05818970831308,1954.0,4.0
52,10.067024377431327,1954.0,5.0
53,10.023977377875717,1954.0,6.0
54,10.009816712523605,1954.0,7.0
55,10.005446035399492,1954.0,8.0
56,10.023965152027015,1954.0,9.0
57,10.042024697336512,1954.0,10.0
58,10.038464989031198,1954.0,11.0
59,10.029480736816119,1954.0,12.0
60,10.022720565229493,1955.0,1.0
61,10.031310861845771,1955.0,2.0
62,10.04762187205648,1955.0,3.0
63,10.042407295512739,1955.0,4.0
64,10.05723612711473,1955.0,5.0
65,10.007868773443732,1955.0,6.0
66,9.995889119175013,1955.0,7.0
67,9.98660474894225,1955.0,8.0
68,9.979076174050071,1955.0,9.0
69,9.986869525176003,1955.0,10.0
70,9.949745129897044,1955.0,11.0
71,9.949184696301364,1955.0,12.0
72,9.969135996098256,1956.0,1.0
73,9.997972116925675,1956.0,2.0
74,10.001093915227766,1956.0,3.0
75,10.005809630582009,1956.0,4.0
76,9.987085728930483,1956.0,5.0
77,9.971756256855778,1956.0,6.0
78,9.961384653268563,1956.0,7.0
79,9.97798671697384,1956.0,8.0
80,9.989515439447596,1956.0,9.0
81,10.008688260602195,1956.0,10.0
82,10.031723993338858,1956.0,11.0
83,10.042273349904924,1956.0,12.0
84,10.040630937454303,1957.0,1.0
85,10.026742684315712,1957.0,2.0
86,10.041965910658215,1957.0,3.0
87,10.02151684360981,1957.0,4.0
88,10.00982153326219,1957.0,5.0
89,9.983943784300571,1957.0,6.0
90,9.949070142636405,1957.0,7.0
91,9.942140322855844,1957.0,8.0
92,9.963209309466968,1957.0,9.0
93,9.973127383409427,1957.0,10.0
94,9.993143471782371,1957.0,11.0
95,10.012670375618608,1957.0,12.0
96,10.0106474055249,1958.0,1.0
