,BAR,PYC,Huang
Atlantic with Medi,665.144121147399,670.4313906668666,708.0
Atlantic,520.9350142977011,525.4248394652489,638.8
Pacific,544.9472802414849,544.8249547318248,481.7
Indian,428.2317305049485,431.4765986344941,472.7
World Oceans with Medi,800.7048789257595,804.5414885203037,664.4
World Oceans,766.380936215342,770.0224617250553,624.2
