,APE,year,month
114,-7010171.495654961,1959.0,7.0
115,-7008573.582542039,1959.0,8.0
116,-7029977.016155052,1959.0,9.0
117,-7113334.447341635,1959.0,10.0
118,-6928492.14500388,1959.0,11.0
119,-6809837.559089205,1959.0,12.0
120,-6795787.086016123,1960.0,1.0
121,-6805304.238532566,1960.0,2.0
122,-6935845.175275714,1960.0,3.0
123,-6952749.296417969,1960.0,4.0
124,-6852973.02055326,1960.0,5.0
125,-6938697.017348163,1960.0,6.0
126,-6918316.052090477,1960.0,7.0
127,-6976166.737816211,1960.0,8.0
128,-6964848.849055373,1960.0,9.0
129,-6990864.073165623,1960.0,10.0
130,-6997220.736817447,1960.0,11.0
131,-6915353.1651136335,1960.0,12.0
132,-6996579.090220023,1961.0,1.0
133,-7055606.412072523,1961.0,2.0
134,-7112331.585064686,1961.0,3.0
135,-7207299.178435605,1961.0,4.0
136,-7145474.649313456,1961.0,5.0
137,-7112714.6314897975,1961.0,6.0
138,-7167019.19989998,1961.0,7.0
139,-7141778.064539911,1961.0,8.0
140,-7079695.13070223,1961.0,9.0
141,-7087295.543271535,1961.0,10.0
142,-7006846.804641585,1961.0,11.0
143,-6815074.3982505845,1961.0,12.0
144,-6887785.141708997,1962.0,1.0
145,-6935627.701596559,1962.0,2.0
146,-7033292.1510113,1962.0,3.0
147,-7042575.113344657,1962.0,4.0
148,-7108543.937212855,1962.0,5.0
149,-7046231.712845995,1962.0,6.0
150,-7022786.441624418,1962.0,7.0
151,-7011745.355081165,1962.0,8.0
152,-7046760.068895393,1962.0,9.0
153,-7068252.343224741,1962.0,10.0
154,-6984765.870425257,1962.0,11.0
155,-6824162.267185011,1962.0,12.0
156,-6962023.3643467715,1963.0,1.0
157,-7018363.337777125,1963.0,2.0
158,-6985596.297043951,1963.0,3.0
159,-6975517.097509196,1963.0,4.0
160,-7000965.304424818,1963.0,5.0
161,-6954809.314973065,1963.0,6.0
162,-7048434.920686435,1963.0,7.0
163,-7079199.76512943,1963.0,8.0
164,-7001000.458881015,1963.0,9.0
165,-7111165.1373452665,1963.0,10.0
166,-6981106.773715573,1963.0,11.0
167,-6773388.238587733,1963.0,12.0
168,-6768601.109222463,1964.0,1.0
169,-6783305.743199732,1964.0,2.0
170,-6863065.886732815,1964.0,3.0
171,-6877243.62374478,1964.0,4.0
172,-6850550.0150038535,1964.0,5.0
173,-6864009.453749536,1964.0,6.0
174,-6988978.325655888,1964.0,7.0
175,-6969280.048590001,1964.0,8.0
176,-6985515.821647468,1964.0,9.0
177,-7017097.602035621,1964.0,10.0
178,-7021744.2561821835,1964.0,11.0
179,-6843277.160227967,1964.0,12.0
180,-6892192.650760324,1965.0,1.0
181,-7004555.504346122,1965.0,2.0
182,-6985613.322779982,1965.0,3.0
183,-7049177.252218644,1965.0,4.0
184,-6983293.208389926,1965.0,5.0
185,-6955484.565120959,1965.0,6.0
186,-6939120.254943479,1965.0,7.0
187,-6963555.843290417,1965.0,8.0
188,-6997296.031335587,1965.0,9.0
189,-7027418.59702949,1965.0,10.0
190,-6945376.499500329,1965.0,11.0
191,-6752718.020025345,1965.0,12.0
192,-6740382.122975792,1966.0,1.0
193,-6846493.556494408,1966.0,2.0
194,-6973130.736057454,1966.0,3.0
195,-7001492.448041015,1966.0,4.0
196,-6988753.824931591,1966.0,5.0
197,-6943847.04234325,1966.0,6.0
198,-6962146.217249027,1966.0,7.0
199,-6953082.378351395,1966.0,8.0
200,-6985616.886440876,1966.0,9.0
201,-7049997.675845132,1966.0,10.0
202,-7017805.003278963,1966.0,11.0
203,-6816120.251580688,1966.0,12.0
204,-6739318.460255158,1967.0,1.0
205,-6862533.255779549,1967.0,2.0
206,-6945343.8474479,1967.0,3.0
207,-6946899.18095524,1967.0,4.0
208,-6917848.534731332,1967.0,5.0
209,-6944188.798836893,1967.0,6.0
210,-7007886.670390815,1967.0,7.0
211,-6938483.88370564,1967.0,8.0
212,-7011493.596043268,1967.0,9.0
213,-7010133.840141281,1967.0,10.0
214,-6954538.272298443,1967.0,11.0
215,-6843832.917521847,1967.0,12.0
216,-7014460.646467558,1968.0,1.0
217,-6941466.976259461,1968.0,2.0
218,-6869050.005458469,1968.0,3.0
219,-6868499.956056912,1968.0,4.0
220,-6815535.802491922,1968.0,5.0
221,-6815560.346277767,1968.0,6.0
222,-6892600.1674225,1968.0,7.0
223,-6885136.122678598,1968.0,8.0
224,-7011365.606422016,1968.0,9.0
225,-7064592.0567236785,1968.0,10.0
226,-7049706.245966335,1968.0,11.0
227,-7139808.548967741,1968.0,12.0
228,-7097841.397555622,1969.0,1.0
229,-7212463.038174447,1969.0,2.0
230,-7128317.633223557,1969.0,3.0
231,-7123434.79789861,1969.0,4.0
232,-7050648.082385822,1969.0,5.0
233,-7020726.709802429,1969.0,6.0
234,-7100482.309229639,1969.0,7.0
235,-7084580.041334769,1969.0,8.0
236,-7052083.969202292,1969.0,9.0
237,-7116083.785848173,1969.0,10.0
238,-7013768.282918203,1969.0,11.0
239,-6807491.179739355,1969.0,12.0
240,-6948346.799597053,1970.0,1.0
241,-6991043.052787862,1970.0,2.0
242,-7078720.602643775,1970.0,3.0
243,-7076886.864535825,1970.0,4.0
244,-7034252.388548363,1970.0,5.0
245,-7009486.499640052,1970.0,6.0
246,-7027377.376757433,1970.0,7.0
247,-7002914.351896774,1970.0,8.0
248,-6954408.131515863,1970.0,9.0
249,-7066972.749581775,1970.0,10.0
250,-7018296.326746202,1970.0,11.0
251,-6856994.699793682,1970.0,12.0
252,-6944117.167955424,1971.0,1.0
253,-6975091.637747811,1971.0,2.0
254,-6947772.366965535,1971.0,3.0
255,-6995778.4384294655,1971.0,4.0
256,-6963492.633028138,1971.0,5.0
257,-6935386.178805884,1971.0,6.0
258,-6950017.767390551,1971.0,7.0
259,-6967687.7333260495,1971.0,8.0
260,-6948004.050458705,1971.0,9.0
261,-6989381.610677016,1971.0,10.0
262,-6900838.101692845,1971.0,11.0
263,-6724972.752934827,1971.0,12.0
264,-6696603.36210702,1972.0,1.0
265,-6701613.554373312,1972.0,2.0
266,-6825169.620980669,1972.0,3.0
267,-6830709.355772169,1972.0,4.0
268,-6834088.88821709,1972.0,5.0
269,-6842574.28796045,1972.0,6.0
270,-6952466.625546187,1972.0,7.0
271,-6928960.804465047,1972.0,8.0
