,BAR,PYC,Huang
Atlantic with Medi,1500.1756620696558,1505.769394236029,708.0
Atlantic,1158.4689715022662,1162.9018851748533,638.8
Pacific,574.4492012424134,573.7763235514318,481.7
Indian,271.0074033107711,268.66516294382126,472.7
World Oceans with Medi,879.2002488973218,882.7261876204304,664.4
World Oceans,816.8479822736929,820.1622158363487,624.2
Southern,1453.8324778743386,1475.6236874018418,
